Nombre de Segments,Nombre de MFCCs,Performance du Modèle
5,5,0.75
5,10,0.75
5,15,0.75
5,20,0.8333333333333334
5,25,0.8333333333333334
5,30,0.8333333333333334
5,35,0.8333333333333334
5,40,0.9166666666666666
5,45,0.9166666666666666
5,50,0.8333333333333334
10,5,0.8333333333333334
10,10,0.8333333333333334
10,15,0.9166666666666666
10,20,0.8333333333333334
10,25,0.9166666666666666
10,30,0.8333333333333334
10,35,0.8333333333333334
10,40,0.9166666666666666
10,45,0.9166666666666666
10,50,0.9166666666666666
15,5,0.9166666666666666
15,10,0.9166666666666666
15,15,0.9166666666666666
15,20,0.9166666666666666
15,25,0.9166666666666666
15,30,0.9166666666666666
15,35,0.9166666666666666
15,40,0.9166666666666666
15,45,0.9166666666666666
15,50,0.9166666666666666
20,5,1.0
20,10,1.0
20,15,1.0
20,20,1.0
20,25,1.0
20,30,1.0
20,35,1.0
20,40,1.0
20,45,1.0
20,50,0.9166666666666666
25,5,1.0
25,10,1.0
25,15,0.9166666666666666
25,20,0.9166666666666666
25,25,0.9166666666666666
25,30,0.9166666666666666
25,35,1.0
25,40,0.9166666666666666
25,45,0.8333333333333334
25,50,1.0
30,5,0.9166666666666666
30,10,0.9166666666666666
30,15,0.9166666666666666
30,20,0.9166666666666666
30,25,0.9166666666666666
30,30,1.0
30,35,0.9166666666666666
30,40,0.9166666666666666
30,45,0.9166666666666666
30,50,0.9166666666666666
35,5,0.9166666666666666
35,10,0.9166666666666666
35,15,0.9166666666666666
35,20,0.9166666666666666
35,25,0.9166666666666666
35,30,0.9166666666666666
35,35,0.9166666666666666
35,40,0.9166666666666666
35,45,0.8333333333333334
35,50,0.9166666666666666
40,5,0.9166666666666666
40,10,0.9166666666666666
40,15,0.9166666666666666
40,20,0.9166666666666666
40,25,0.9166666666666666
40,30,0.9166666666666666
40,35,0.9166666666666666
40,40,0.9166666666666666
40,45,0.9166666666666666
40,50,0.9166666666666666
45,5,0.9166666666666666
45,10,0.9166666666666666
45,15,0.9166666666666666
45,20,0.9166666666666666
45,25,0.9166666666666666
45,30,0.9166666666666666
45,35,0.9166666666666666
45,40,0.9166666666666666
45,45,0.9166666666666666
45,50,0.9166666666666666
50,5,0.9166666666666666
50,10,0.9166666666666666
50,15,0.9166666666666666
50,20,0.9166666666666666
50,25,0.9166666666666666
50,30,0.9166666666666666
50,35,0.9166666666666666
50,40,0.9166666666666666
50,45,0.9166666666666666
50,50,0.9166666666666666
